NCESSCH,ga_full_id,SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,System_School_ID,FAC_SCHTYPE,GRADE_RANGE,LEAID,NAME,OPSTFIPS,STREET,CITY,STATE,ZIP,STFIP,CNTY,NMCNTY,LOCALE,LAT,LON,CBSA,NMCBSA,CBSATYPE,CSA,NMCSA,CD,SLDL,SLDU,SCHOOLYEAR
130006000010,601-103,2024.0,601.0,Appling County,103.0,Appling County High School,601-103,H,09-12,1300060,Appling County High School,13,482 Blackshear Hwy,Baxley,GA,31513,13,13001,Appling County,33,31.7579,-82.3548,N,N,0,N,N,1301,13178,13019,2023-2024
130348002411,695-101,2024.0,695.0,Madison County,101.0,Hull-Sanford Elementary School,695-101,E,KK-05,1303480,Hull-Sanford Elementary School,13,9193 Fortson Store Rd,Hull,GA,30646,13,13195,Madison County,41,34.0409,-83.3198,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130342001319,693-1050,2024.0,693.0,Lumpkin County,1050.0,Lumpkin County Middle School,693-1050,M,06-08,1303420,Lumpkin County Middle School,13,152 School Dr,Dahlonega,GA,30533,13,13187,Lumpkin County,32,34.5423,-83.9905,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13009,13051,2023-2024
130342002139,693-191,2024.0,693.0,Lumpkin County,191.0,Long Branch Elementary School,693-191,E,KK-05,1303420,Long Branch Elementary School,13,4518 Highway 52 E,Dahlonega,GA,30533,13,13187,Lumpkin County,41,34.5227,-83.9188,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13009,13051,2023-2024
130342001321,693-2050,2024.0,693.0,Lumpkin County,2050.0,Cottrell Elementary School,693-2050,E,PK-05,1303420,Cottrell Elementary School,13,220 Pine Tree Way,Dahlonega,GA,30533,13,13187,Lumpkin County,41,34.531374,-83.971206,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13009,13051,2023-2024
130345002218,694-198,2024.0,694.0,Macon County,198.0,Macon County Elementary School,694-198,E,PK-05,1303450,Macon County Elementary School,13,400 Ga Highway 128,Oglethorpe,GA,31068,13,13193,Macon County,42,32.288437,-84.073657,N,N,0,N,N,1302,13150,13015,2023-2024
130345001329,694-199,2024.0,694.0,Macon County,199.0,Macon County Middle School,694-199,M,06-08,1303450,Macon County Middle School,13,615 Vienna Rd,Montezuma,GA,31063,13,13193,Macon County,42,32.290748,-84.018267,N,N,0,N,N,1302,13150,13015,2023-2024
130345001322,694-2060,2024.0,694.0,Macon County,2060.0,Macon County High School,694-2060,H,09-12,1303450,Macon County High School,13,615 Vienna Rd,Montezuma,GA,31063,13,13193,Macon County,42,32.291942,-84.018801,N,N,0,N,N,1302,13150,13015,2023-2024
130348001335,695-195,2024.0,695.0,Madison County,195.0,Danielsville Elementary School,695-195,E,PK-05,1303480,Danielsville Elementary School,13,900 Madison St,Danielsville,GA,30633,13,13195,Madison County,42,34.118,-83.2075,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130339001311,692-4050,2024.0,692.0,Lowndes County,4050.0,Lake Park Elementary School,692-4050,E,PK-05,1303390,Lake Park Elementary School,13,604 W Marion Ave,Lake Park,GA,31636,13,13185,Lowndes County,42,30.6871,-83.1855,46660,"Valdosta, GA",1,N,N,1308,13174,13008,2023-2024
130348001330,695-1050,2024.0,695.0,Madison County,1050.0,Colbert Elementary School,695-1050,E,KK-05,1303480,Colbert Elementary School,13,255 Colbert School Rd,Colbert,GA,30628,13,13195,Madison County,41,34.0392,-83.2281,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130348001332,695-1052,2024.0,695.0,Madison County,1052.0,Madison County Middle School,695-1052,M,06-08,1303480,Madison County Middle School,13,3215 Highway 172,Comer,GA,30629,13,13195,Madison County,42,34.08859,-83.15722,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130348001331,695-2050,2024.0,695.0,Madison County,2050.0,Comer Elementary School,695-2050,E,KK-05,1303480,Comer Elementary School,13,565 Gholston St,Comer,GA,30629,13,13195,Madison County,42,34.0705,-83.1303,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130348001334,695-4050,2024.0,695.0,Madison County,4050.0,Ila Elementary School,695-4050,E,KK-05,1303480,Ila Elementary School,13,150 Sewell Mill Rd,Danielsville,GA,30633,13,13195,Madison County,42,34.1755,-83.2934,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13033,13047,2023-2024
130348001333,695-5050,2024.0,695.0,Madison County,5050.0,Madison County High School,695-5050,H,09-12,1303480,Madison County High School,13,600 Madison St,Danielsville,GA,30633,13,13195,Madison County,42,34.1184,-83.2123,12020,"Athens-Clarke County, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13123,13047,2023-2024
130354002219,696-197,2024.0,696.0,Marion County,197.0,L. K. Moss Elementary School,696-197,E,PK-05,1303540,L. K. Moss Elementary School,13,1707 Pineville Rd,Buena Vista,GA,31803,13,13197,Marion County,42,32.287479,-84.535767,17980,"Columbus, GA-AL",1,194,"Columbus-Auburn-Opelika, GA-AL",1302,13151,13015,2023-2024
130342002505,693-101,2024.0,693.0,Lumpkin County,101.0,Lumpkin County High School,693-101,H,09-12,1303420,Lumpkin County High School,13,2001 Indian Dr,Dahlonega,GA,30533,13,13187,Lumpkin County,41,34.5549,-84.0017,12060,"Atlanta-Sandy Springs-Roswell, GA",1,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1309,13009,13051,2023-2024
130339001310,692-5050,2024.0,692.0,Lowndes County,5050.0,Lowndes High School,692-5050,H,09-12,1303390,Lowndes High School,13,1606 Norman Dr,Valdosta,GA,31601,13,13185,Lowndes County,13,30.838382,-83.326428,46660,"Valdosta, GA",1,N,N,1308,13177,13008,2023-2024
130294002924,678-104,2024.0,678.0,Jackson County,104.0,East Jackson Elementary School,678-104,E,PK-05,1302940,East Jackson Elementary School,13,1531 Hoods Mill Rd,Commerce,GA,30529,13,13157,Jackson County,42,34.1459,-83.4676,27600,"Jefferson, GA",2,122,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",1310,13120,13047,2023-2024
130339002410,692-100,2024.0,692.0,Lowndes County,100.0,Dewar Elementary ,692-100,E,PK-05,1303390,Dewar Elementary,13,3539 Mount Zion Church Rd,Valdosta,GA,31605,13,13185,Lowndes County,13,30.8895,-83.2637,46660,"Valdosta, GA",1,N,N,1308,13177,13008,2023-2024
130333002408,690-110,2024.0,690.0,Lincoln County,110.0,Lincoln County High School,690-110,H,09-12,1303330,Lincoln County High School,13,200 Charles Ward Elam Dr,Lincolnton,GA,30817,13,13181,Lincoln County,42,33.791023,-82.489556,12260,"Augusta-Richmond County, GA-SC",1,N,N,1312,13123,13024,2023-2024
130333001308,690-176,2024.0,690.0,Lincoln County,176.0,Lincoln County Elementary School,690-176,E,PK-05,1303330,Lincoln County Elementary School,13,175 Rowland York Dr,Lincolnton,GA,30817,13,13181,Lincoln County,42,33.796652,-82.49178,12260,"Augusta-Richmond County, GA-SC",1,N,N,1312,13123,13024,2023-2024
130336002409,691-100,2024.0,691.0,Long County,100.0,Smiley Elementary School,691-100,E,PK-02,1303360,Smiley Elementary School,13,1530 Ga Highway 57,Ludowici,GA,31316,13,13183,Long County,42,31.694648,-81.730488,25980,"Hinesville, GA",1,496,"Savannah-Hinesville-Statesboro, GA",1301,13167,13019,2023-2024
130336001371,691-205,2024.0,691.0,Long County,205.0,Long County High School,691-205,H,09-12,1303360,Long County High School,13,1844 Ga Highway 57,Ludowici,GA,31316,13,13183,Long County,42,31.690533,-81.729098,25980,"Hinesville, GA",1,496,"Savannah-Hinesville-Statesboro, GA",1301,13167,13019,2023-2024
130336004120,691-288,2024.0,691.0,Long County,288.0,Long County Middle School,691-288,M,06-08,1303360,Long County Middle School,13,2001 US Highway 84 E,Ludowici,GA,31316,13,13183,Long County,41,31.733294,-81.722094,25980,"Hinesville, GA",1,496,"Savannah-Hinesville-Statesboro, GA",1301,13167,13019,2023-2024
130336004323,691-289,2024.0,691.0,Long County,289.0,McClelland Elementary School,691-289,E,03-05,1303360,McClelland Elementary School,13,2015 US Highway 84 E,Ludowici,GA,31316,13,13183,Long County,41,31.732754,-81.721464,25980,"Hinesville, GA",1,496,"Savannah-Hinesville-Statesboro, GA",1301,13167,13019,2023-2024
130339003788,692-111,2024.0,692.0,Lowndes County,111.0,Westside Elementary School,692-111,E,PK-05,1303390,Westside Elementary School,13,2470 James Rd,Valdosta,GA,31601,13,13185,Lowndes County,41,30.82117,-83.332051,46660,"Valdosta, GA",1,N,N,1308,13177,13008,2023-2024
130339001315,692-1052,2024.0,692.0,Lowndes County,1052.0,Lowndes Middle School,692-1052,M,06-08,1303390,Lowndes Middle School,13,2379 Copeland Rd,Valdosta,GA,31601,13,13185,Lowndes County,41,30.7914,-83.2621,46660,"Valdosta, GA",1,N,N,1308,13177,13008,2023-2024
130339003904,692-112,2024.0,692.0,Lowndes County,112.0,Pine Grove Middle School,692-112,M,06-08,1303390,Pine Grove Middle School,13,4159 River Rd,Valdosta,GA,31605,13,13185,Lowndes County,41,30.9557,-83.2596,46660,"Valdosta, GA",1,N,N,1308,13176,13008,2023-2024
130339001317,692-211,2024.0,692.0,Lowndes County,211.0,Pine Grove Elementary School,692-211,E,PK-05,1303390,Pine Grove Elementary School,13,4175 River Rd,Valdosta,GA,31605,13,13185,Lowndes County,41,30.9554,-83.2602,46660,"Valdosta, GA",1,N,N,1308,13176,13008,2023-2024
130339001010,692-194,2024.0,692.0,Lowndes County,194.0,Moulton-Branch Elementary School,692-194,E,PK-05,1303390,Moulton-Branch Elementary School,13,5725 Inner Perimeter Rd,Valdosta,GA,31601,13,13185,Lowndes County,41,30.816612,-83.229948,46660,"Valdosta, GA",1,N,N,1308,13174,13008,2023-2024
130339001314,692-195,2024.0,692.0,Lowndes County,195.0,Hahira Elementary School,692-195,E,PK-05,1303390,Hahira Elementary School,13,350 Claudia Dr,Hahira,GA,31632,13,13185,Lowndes County,41,30.9888,-83.3575,46660,"Valdosta, GA",1,N,N,1308,13175,13008,2023-2024
130339001313,692-3050,2024.0,692.0,Lowndes County,3050.0,Hahira Middle School,692-3050,M,06-08,1303390,Hahira Middle School,13,101 S Nelson St,Hahira,GA,31632,13,13185,Lowndes County,41,30.9911,-83.3669,46660,"Valdosta, GA",1,N,N,1308,13175,13008,2023-2024
130339001316,692-1050,2024.0,692.0,Lowndes County,1050.0,Clyattville Elementary School,692-1050,E,PK-05,1303390,Clyattville Elementary School,13,5386 Madison Hwy,Valdosta,GA,31601,13,13185,Lowndes County,42,30.6876,-83.3171,46660,"Valdosta, GA",1,N,N,1308,13175,13008,2023-2024
130354001346,696-275,2024.0,696.0,Marion County,275.0,Marion County Middle/High School,696-275,H,06-12,1303540,Marion County Middle/High School,13,1 Eagle Dr,Buena Vista,GA,31803,13,13197,Marion County,42,32.362784,-84.536294,17980,"Columbus, GA-AL",1,194,"Columbus-Auburn-Opelika, GA-AL",1302,13151,13015,2023-2024
130357003737,697-112,2024.0,697.0,McDuffie County,112.0,Thomson-McDuffie Middle School,697-112,M,06-08,1303570,Thomson-McDuffie Middle School,13,1191 White Oak Rd,Thomson,GA,30824,13,13189,McDuffie County,32,33.476576,-82.477066,12260,"Augusta-Richmond County, GA-SC",1,N,N,1312,13128,13023,2023-2024
130357002183,697-192,2024.0,697.0,McDuffie County,192.0,Thomson High School,697-192,H,09-12,1303570,Thomson High School,13,1160 White Oak Rd,Thomson,GA,30824,13,13189,McDuffie County,32,33.4737,-82.4753,12260,"Augusta-Richmond County, GA-SC",1,N,N,1312,13128,13023,2023-2024
130375002417,703-101,2024.0,703.0,Montgomery County,101.0,Montgomery County Middle School,703-101,M,06-08,1303750,Montgomery County Middle School,13,100 Faye D Brewer Street,Mount Vernon,GA,30445,13,13209,Montgomery County,42,32.18244,-82.582295,47080,"Vidalia, GA",2,N,N,1312,13156,13019,2023-2024
130369002220,701-198,2024.0,701.0,Mitchell County,198.0,Mitchell County Primary School,701-198,E,PK-02,1303690,Mitchell County Primary School,13,50 Griffin Rd,Camilla,GA,31730,13,13205,Mitchell County,32,31.239518,-84.233929,N,N,0,N,N,1302,13171,13012,2023-2024
130369001912,701-282,2024.0,701.0,Mitchell County,282.0,Mitchell County High School,701-282,H,09-12,1303690,Mitchell County High School,13,1000 Newton Rd,Camilla,GA,31730,13,13205,Mitchell County,32,31.243812,-84.239515,N,N,0,N,N,1302,13171,13012,2023-2024
130372003430,702-105,2024.0,702.0,Monroe County,105.0,T.G. Scott Elementary School,702-105,E,PK-05,1303720,T.G. Scott Elementary School,13,70 Thornton Rd,Forsyth,GA,31029,13,13207,Monroe County,41,33.0101,-83.92,31420,"Macon-Bibb County, GA",1,356,"Macon-Bibb County--Warner Robins, GA",1308,13144,13018,2023-2024
130372003839,702-111,2024.0,702.0,Monroe County,111.0,Katherine B. Sutton Elementary School,702-111,E,PK-05,1303720,Katherine B. Sutton Elementary School,13,1315 Ga Highway 83 N,Forsyth,GA,31029,13,13207,Monroe County,41,33.0623,-83.919551,31420,"Macon-Bibb County, GA",1,356,"Macon-Bibb County--Warner Robins, GA",1308,13134,13018,2023-2024
